Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey,Practice
1,Python Basics,Mon 1/8,1,Introduction,CIT 1.0-1.3,https://inferentialthinking.com/chapters/01/what-is-data-science.html,"data science, course structure, policies, syllabus, Little Women demo",,Getting Started with Jupyter Notebooks,,,Welcome Survey,
,,Tue 1/9,,,,,,,,,,,
,,Wed 1/10,2,Expressions and Data Types,BPD 1-6,https://notes.dsc10.com/01-getting_started/tools.html,"Jupyter notebooks, expressions, variables, assignment, functions, int, float",,,,,,
,,Thu 1/11,,,,,,,,,,,
,,Fri 1/12,3,"Strings, Lists, and Arrays","BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","string methods, mean, median, lists, arrays, array arithmetic",,,,,,x
,,Sat 1/13,,,,,,,,0. Expressions and Data Types,,,
2,DataFrames,Mon 1/15,,No Lecture (MLK Day),,,,,,,,,
,,Tue 1/16,,,,,,,,,,,
,,Wed 1/17,4,Arrays and DataFrames,BPD 9-10,https://notes.dsc10.com/02-data_sets/accessing.html,"array methods, np.arange, .read_csv, .get, .assign, .sort_values, .iloc, .loc, index",,,,,,
,,Thu 1/18,,,,,,,,,,,
,,Fri 1/19,5,Querying and Grouping,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,".set_index, Booleans, querying, .shape, &, |, .take, .groupby, aggregation",,,,,,x
,,Sat 1/20,,,,,,,,1. Arrays and DataFrames,,,
3,Data Visualization and Functions,Mon 1/22,6,Grouping and Data Visualization,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,".groupby, numerical vs. categorical, scatter plot, line plot, bar chart",,,,1. Quiz 1 covers Lectures 1-4,,
,,Tue 1/23,,,,,,,,,,,
,,Wed 1/24,7,Distributions and Histograms,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots",,,,,,
,,Thu 1/25,,,,,,"1. Basic Python, Arrays, and DataFrames",,,,,
,,Fri 1/26,8,Functions and Applying,"BPD 6, 12","https://notes.dsc10.com/01-getting_started/functions-defining.html#example, https://notes.dsc10.com/02-data_sets/apply.html","functions, arguments, print vs. return, .apply, .reset_index",,,,,,x
,,Sat 1/27,,,,,,,,,,,
4,Control Flow and Probability,Mon 1/29,9,"Grouping on Multiple Columns, Merging","BPD 11, 13","https://notes.dsc10.com/02-data_sets/groupby.html, https://notes.dsc10.com/02-data_sets/merging.html",".groupby([col_1, col_2, …]), subgroups, MultiIndex, .merge, number of rows",,,,2. Quiz 2 covers Lectures 5-7,,
,,Tue 1/30,,,,,,,,2. Data Visualizations and Functions,,,
,,Wed 1/31,10,Conditional Statements and Iteration,CIT 9.0-9.2,https://inferentialthinking.com/chapters/09/Randomness.html,"in, not, and, or, if, else, elif, for-loops, np.append, accumulator pattern",,,,,,
,,Thu 2/1,,,,,,"2. DataFrames, Data Visualization, and Functions",,,,,
,,Fri 2/2,11,Probability,CIT 9.5,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,"event, conditional prob., multiplication and addition rules, independence",,,,,,x
,,Sat 2/3,,,,,,,,"3. DataFrames, Control Flow, and Probability",,,
5,"Simulation, Sampling, and Confidence Intervals",Mon 2/5,12,Simulation,CIT 9.3-9.4,https://inferentialthinking.com/chapters/09/3/Simulation.html,"np.random.choice, replacement, np.count_nonzero, coin flipping, Monty Hall",,,,3. Quiz 3 covers Lectures 8-11,,
,,Tue 2/6,,,,,,,,,,,
,,Wed 2/7,13,Distributions and Sampling,CIT 10.0-10.4,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,"probability vs. empirical distribution, SRS, .sample, parameter, statistic",,,,,,
,,Thu 2/8,,,,,,"3. DataFrames, Control Flow, and Probability",,,,,
,,Fri 2/9,14,Bootstrapping and Confidence Intervals,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",,,,,,x
,,Sat 2/10,,,,,,,,,,,
6,Midterm Exam and the Normal Distribution,Mon 2/12,,Midterm Exam,,,,,Exam Solutions Review,,,,
,,Tue 2/13,,,,,,,,,,,
,,Wed 2/14,15,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation, Chebyshev",,,,,,
,,Thu 2/15,,,,,,Midterm Project,,,,,
,,Fri 2/16,16,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,,x
,,Sat 2/17,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,,
7,Central Limit Theorem,Mon 2/19,,No Lecture (Presidents‘ Day),,,,,,,,,
,,Tue 2/20,,,,,,,,,,,
,,Wed 2/21,17,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"interpreting CIs, robust vs. sensitive, center, standard deviation, Chebyshev",,,,,,
,,Thu 2/22,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,,
,,Fri 2/23,18,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury panel",,,,,,x
,,Sat 2/24,,,,,,,,,,,
8,Hypothesis and Permutation Testing,Mon 2/26,19,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,4. Quiz 4 covers Lectures 13-17,,
,,Tue 2/27,,,,,,,,5. Variability and the Normal Distribution,,,
,,Wed 2/28,20,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,,,,,
,,Thu 2/29,,,,,,5. The Normal Distribution and the Central Limit Theorem,,,,,
,,Fri 3/1,21,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking and birth weight",,,,,,x
,,Sat 3/2,,,,,,,,6. Hypothesis Testing,,,
9,Prediction,Mon 3/4,22,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking and birth weight, np.random.permutation, shuffling, Deflategate",,,,5. Quiz 5 covers Lectures 18-20,,
,,Tue 3/5,,,,,,,,,,,
,,Wed 3/6,23,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line in standard units",,,,,,
,,Thu 3/7,,,,,,6. Hypothesis Testing and Permutation Testing,,,,,
,,Fri 3/8,24,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit line, least squares",,,,,,x
,,Sat 3/9,,,,,,,,,,,
10,Review,Mon 3/11,25,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,,,6. Quiz 6 covers Lectures 21-24,,
,,Tue 3/12,,,,,,Final Project,,,,,
,,Wed 3/13,26,Review,,,,,,,,,
,,Thu 3/14,,,,,,,,7. Regression,,,
,,Fri 3/15,27,"Review, Conclusion",,,,,,,,,x
,,Sat 3/16,,Final Exam (7-10PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM),