,Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
132,Craig Goodwin,MF,Australia,31-002,Adelaide,4,2,1,118.0,95.0
13,Abolfazl Jalali,DF,IR Iran,24-175,Esteghlal,1,0,0,34.0,29.0
224,Gio Reyna,FW,United States,20-035,Dortmund,2,2,0,42.0,38.0
272,Ivan Ilić,MF,Serbia,21-276,Hellas Verona,1,0,0,23.0,20.0
128,Christopher Wooh,DF,Cameroon,21-091,Rennes,1,1,0,45.0,31.0
229,Gonçalo Ramos,FW,Portugal,21-181,Benfica,4,7,3,55.0,31.0
29,Alexander Djiku,DF,Ghana,28-131,Strasbourg,2,0,0,43.0,28.0
627,Toby Alderweireld,DF,Belgium,33-291,Antwerp,3,0,0,303.0,273.0
366,Ko Itakura,DF,Japan,25-325,M'Gladbach,3,3,0,150.0,111.0
585,Sergiño Dest,DF,United States,22-045,Milan,4,6,0,250.0,200.0
347,Kasper Dolberg,FW,Denmark,25-073,Sevilla,3,3,0,34.0,18.0
64,Antoine Semenyo,FW,Ghana,22-345,Bristol City,2,1,0,6.0,2.0
226,Gleison Bremer,DF,Brazil,25-275,Juventus,2,1,0,95.0,84.0
16,Adrien Rabiot,MF,France,27-259,Juventus,6,9,1,350.0,284.0
188,Eray Cömert,DF,Switzerland,24-317,Valencia,2,0,0,50.0,42.0
318,Josip Šutalo,DF,Croatia,22-293,Dinamo Zagreb,1,0,0,73.0,66.0
557,Roozbeh Cheshmi,DF,IR Iran,29-147,Esteghlal,2,1,1,19.0,11.0
605,Taha Yassine Khenissi,FW,Tunisia,30-346,Kuwait SC,2,1,0,8.0,6.0
311,Jordan Veretout,MF,France,29-292,Marseille,1,0,0,43.0,36.0
440,Memphis,FW,Netherlands,28-308,Barcelona,5,10,1,165.0,123.0
635,Vincent Janssen,FW,Netherlands,28-186,Antwerp,2,2,0,32.0,20.0
549,Rodri,DF,Spain,26-179,Manchester City,4,1,0,710.0,689.0
443,Michał Skóraś,MF,Poland,22-306,Lech Poznań,1,1,0,12.0,9.0
519,Pepe,DF,Portugal,39-295,Porto,4,3,1,330.0,295.0
22,Akram Afif,FW,Qatar,26-030,Al Sadd SC,3,2,0,181.0,165.0
603,Strahinja Pavlović,DF,Serbia,21-208,RB Salzburg,3,2,1,186.0,156.0
554,Romain Saïss,DF,Morocco,32-267,Beşiktaş,6,1,1,248.0,199.0
593,Son Heung-min,FW,Korea Republic,30-163,Tottenham,4,9,0,158.0,115.0
643,Wataru Endo,MF,Japan,29-312,Stuttgart,4,6,0,239.0,192.0
449,Milan Borjan,GK,Canada,35-056,Red Star,3,0,0,105.0,98.0