Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Aaron Mooy,MF,Australia,32-094,Celtic,4,1,0,255.0,217.0
Aaron Ramsey,MF,Wales,31-357,Nice,3,1,0,147.0,112.0
Abdelhamid Sabiri,MF,Morocco,26-020,Sampdoria,5,3,0,86.0,58.0
Abdelkarim Hassan,DF,Qatar,29-112,Al Sadd SC,3,6,0,193.0,161.0
Abderrazak Hamdallah,FW,Morocco,32-001,Al-Ittihad,4,2,0,28.0,15.0
Abdessamad Ezzalzouli,FW,Morocco,21-001,Osasuna,3,1,0,40.0,13.0
Abdou Diallo,DF,Senegal,26-228,RB Leipzig,4,1,0,210.0,186.0
Abdul Fatawu Issahaku,FW,Ghana,18-285,Sporting CP,1,0,0,2.0,1.0
Abdulaziz Hatem,MF,Qatar,32-051,Al Rayyan SC,3,1,0,98.0,91.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,Al-Nassr,3,1,0,129.0,104.0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,Al-Hilal,2,2,0,105.0,84.0
Abdullah Madu,DF,Saudi Arabia,29-156,Al-Nassr,1,0,0,19.0,13.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,Al-Ittihad,2,1,0,22.0,13.0
Abolfazl Jalali,DF,IR Iran,24-175,Esteghlal,1,0,0,34.0,29.0
Achraf Dari,DF,Morocco,23-226,Brest,3,1,1,139.0,111.0
Achraf Hakimi,DF,Morocco,24-044,Paris S-G,7,4,0,478.0,382.0
Adrien Rabiot,MF,France,27-259,Juventus,6,9,1,350.0,284.0
Agustín Canobbio,MF,Uruguay,24-078,Atl Paranaense,1,0,0,11.0,7.0
Ahmad Nourollahi,MF,IR Iran,29-319,Al-Ahli Dubai FC,3,5,0,85.0,54.0
Ahmed Alaaeldin,FW,Qatar,29-321,Al-Gharafa Sports Club,1,0,0,2.0,2.0
Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,3,0,0,82.0,77.0
Ajdin Hrustic,MF,Australia,26-166,Hellas Verona,3,1,0,32.0,21.0
Akram Afif,FW,Qatar,26-030,Al Sadd SC,3,2,0,181.0,165.0
Alan Franco,MF,Ecuador,24-119,Talleres,2,0,0,16.0,11.0
Alejandro Balde,DF,Spain,19-061,Barcelona,4,1,0,135.0,123.0
Aleksandar Mitrović,FW,Serbia,28-093,Fulham,3,10,2,95.0,69.0
Alex Sandro,DF,Brazil,31-326,Juventus,3,1,0,193.0,169.0
Alex Telles,DF,Brazil,30-003,Sevilla,2,0,0,46.0,42.0
Alexander Bah,DF,Denmark,25-009,Benfica,2,2,0,65.0,53.0
Alexander Djiku,DF,Ghana,28-131,Strasbourg,2,0,0,43.0,28.0
Alexis Mac Allister,MF,Argentina,23-359,Brighton,6,7,1,332.0,265.0
Alexis Vega,FW,Mexico,25-023,Guadalajara,3,9,0,85.0,56.0
Ali Abdi,DF,Tunisia,28-363,Caen,3,0,0,152.0,116.0
Ali Al Hassan,MF,Saudi Arabia,25-289,Al-Nassr,1,1,0,15.0,7.0
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,Al-Hilal,3,0,0,110.0,97.0
Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1,0,0,24.0,23.0
Ali Gholizadeh,MF,IR Iran,26-283,Charleroi,3,1,0,86.0,72.0
Ali Karimi,MF,IR Iran,28-310,Kayserispor,3,0,0,55.0,45.0
Ali Maâloul,DF,Tunisia,32-351,Al Ahly SC,1,0,0,70.0,63.0
Alidu Seidu,DF,Ghana,22-197,Clermont Foot,2,1,0,98.0,78.0
Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,2,0,0,34.0,31.0
Alireza Jahanbakhsh,MF,IR Iran,29-129,Feyenoord,2,3,0,27.0,17.0
Alisson,GK,Brazil,30-077,Liverpool,4,0,0,101.0,93.0
Alistair Johnston,DF,Canada,24-071,CF Montréal,3,2,0,209.0,186.0
Almoez Ali,FW,Qatar,26-121,Al Duhail SC,3,3,0,66.0,45.0
Alphonso Davies,MF,Canada,22-046,Bayern Munich,3,3,1,156.0,114.0
Amadou Onana,MF,Belgium,21-124,Everton,2,2,0,74.0,64.0
Anass Zaroury,FW,Morocco,22-041,Burnley,1,0,0,15.0,13.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,Napoli,3,1,0,159.0,130.0
Andreas Christensen,DF,Denmark,26-252,Barcelona,3,2,1,280.0,251.0
Andreas Cornelius,FW,Denmark,29-277,FC Copenhagen,3,5,0,48.0,34.0
Andreas Skov Olsen,FW,Denmark,22-354,Club Brugge,2,4,0,76.0,63.0
Andrej Kramarić,FW,Croatia,31-182,Hoffenheim,7,10,2,215.0,176.0
Andries Noppert,GK,Netherlands,28-255,Heerenveen,5,0,0,205.0,192.0
Andrija Živković,DF,Serbia,26-160,PAOK,3,1,0,118.0,96.0
André Ayew,MF,Ghana,33-001,Al Sadd SC,3,1,1,61.0,37.0
André Onana,GK,Cameroon,26-260,Inter,1,0,0,60.0,59.0
André Silva,FW,Portugal,27-042,RB Leipzig,1,0,0,14.0,11.0
Andrés Guardado,MF,Mexico,36-081,Betis,1,0,0,22.0,16.0
Anis Ben Slimane,MF,Tunisia,21-277,Brøndby,2,1,0,72.0,46.0
Ansu Fati,FW,Spain,20-048,Barcelona,2,0,0,33.0,29.0
Ante Budimir,FW,Croatia,31-149,Osasuna,2,1,0,12.0,5.0
Anthony Contreras,FW,Costa Rica,22-323,Club Sport Herediano,3,0,0,38.0,26.0
Antoine Griezmann,MF,France,31-272,Atlético Madrid,7,6,0,381.0,329.0
Antoine Semenyo,FW,Ghana,22-345,Bristol City,2,1,0,6.0,2.0
Antonee Robinson,DF,United States,25-132,Fulham,4,0,0,288.0,241.0
Antonio Rüdiger,DF,Germany,29-290,Real Madrid,3,6,0,273.0,252.0
Antony,FW,Brazil,22-297,Manchester Utd,4,6,0,145.0,109.0
António Silva,DF,Portugal,19-049,Benfica,1,0,0,67.0,62.0
Ao Tanaka,MF,Japan,24-099,Düsseldorf,3,1,1,84.0,69.0
Ardon Jasari,FW,Switzerland,20-141,Luzern,1,0,0,8.0,6.0
Arkadiusz Milik,FW,Poland,28-293,Juventus,3,1,0,39.0,29.0
Artur Jędrzejczyk,DF,Poland,35-044,Legia Warsaw,1,0,0,5.0,4.0
Asiri Haitham,FW,Saudi Arabia,21-268,Al-Ahli,1,0,0,5.0,2.0
Assim Madibo,MF,Qatar,26-057,Al Duhail SC,2,0,0,85.0,70.0
Atiba Hutchinson,MF,Canada,39-313,Beşiktaş,3,2,0,131.0,112.0
Aurélien Tchouaméni,MF,France,22-325,Real Madrid,7,6,1,533.0,474.0
Awer Mabil,MF,Australia,27-094,Cádiz,2,0,0,18.0,14.0
Axel Disasi,DF,France,24-282,Monaco,3,1,0,90.0,78.0
Axel Witsel,MF,Belgium,33-340,Atlético Madrid,3,1,0,200.0,177.0
Ayase Ueda,FW,Japan,24-099,Cercle Brugge,1,0,0,23.0,12.0
Aymeric Laporte,DF,Spain,28-205,Manchester City,3,1,0,456.0,438.0
Aziz Behich,DF,Australia,32-002,Dundee United,4,2,0,249.0,203.0
Azzedine Ounahi,MF,Morocco,22-243,Angers,7,6,0,328.0,265.0
Aïssa Laïdouni,MF,Tunisia,26-005,Ferencváros,3,2,0,156.0,123.0
Baba Rahman,DF,Ghana,28-169,Reading,3,0,0,121.0,100.0
Badr Banoun,DF,Morocco,29-079,Qatar SC,3,0,0,28.0,22.0
Bailey Wright,DF,Australia,30-143,Sunderland,1,0,0,5.0,3.0
Bamba Dieng,FW,Senegal,22-270,Marseille,4,4,1,32.0,16.0
Bartosz Bereszyński,DF,Poland,30-159,Sampdoria,4,0,0,197.0,156.0
Bassam Al-Rawi,DF,Qatar,25-002,Al Duhail SC,1,0,0,68.0,57.0
Ben Davies,DF,Wales,29-238,Tottenham,3,3,0,184.0,161.0
Benjamin Pavard,DF,France,26-265,Bayern Munich,1,0,0,94.0,90.0
Bernardo Silva,MF,Portugal,28-130,Manchester City,5,1,0,309.0,292.0
Bilal El Khannous,MF,Morocco,18-222,Genk,1,0,0,29.0,24.0
Borna Barišić,DF,Croatia,30-038,Rangers,1,1,0,81.0,69.0
Borna Sosa,DF,Croatia,24-331,Stuttgart,5,2,0,333.0,278.0
Boualem Khoukhi,DF,Qatar,32-162,Al Sadd SC,3,0,0,232.0,197.0
Boulaye Dia,FW,Senegal,26-032,Salernitana,4,8,1,81.0,53.0
Brandon Aguilera,MF,Costa Rica,19-173,Asociación Deportiva Guanacasteca,3,0,0,44.0,38.0
Breel Embolo,FW,Switzerland,25-307,Monaco,4,6,2,92.0,62.0
Brenden Aaronson,MF,United States,22-057,Leeds United,4,1,0,78.0,50.0
Brennan Johnson,FW,Wales,21-209,Nott'ham Forest,3,3,0,33.0,17.0
Bruno Fernandes,FW,Portugal,28-101,Manchester Utd,4,7,2,266.0,233.0
Bruno Guimarães,MF,Brazil,25-032,Newcastle Utd,2,5,0,67.0,54.0
Bruno Petković,FW,Croatia,28-093,Dinamo Zagreb,6,1,1,101.0,75.0
Bryan Mbeumo,FW,Cameroon,23-133,Brentford,3,2,0,106.0,85.0
Bryan Oviedo,DF,Costa Rica,32-303,Real Salt Lake,3,0,0,112.0,89.0
Bryan Ruiz,MF,Costa Rica,37-122,Liga Deportiva Alajuelense,1,0,0,14.0,12.0
Bukayo Saka,FW,England,21-104,Arsenal,4,7,3,147.0,108.0
Callum Wilson,FW,England,30-294,Newcastle Utd,2,0,0,16.0,10.0
Cameron Carter-Vickers,DF,United States,24-352,Celtic,1,0,0,64.0,58.0
Carlos Gruezo,MF,Ecuador,27-243,Augsburg,1,0,0,19.0,15.0
Carlos Martínez,DF,Costa Rica,23-263,AD San Carlos,1,0,0,20.0,15.0
Carlos Soler,MF,Spain,25-350,Paris S-G,2,4,1,88.0,83.0
Casemiro,MF,Brazil,30-298,Manchester Utd,4,9,1,302.0,251.0
Celso Borges,MF,Costa Rica,34-205,Liga Deportiva Alajuelense,3,0,0,143.0,120.0
Charles De Ketelaere,FW,Belgium,21-283,Milan,1,0,0,6.0,4.0
Charly Rodríguez,MF,Mexico,25-349,Cruz Azul,2,0,0,36.0,30.0
Cheikhou Kouyaté,MF,Senegal,32-362,Nott'ham Forest,1,0,0,34.0,23.0
Cho Guesung,FW,Korea Republic,24-327,Jeonbuk,4,9,2,88.0,63.0
Cho Yumin,FW,Korea Republic,26-031,Daejeon Citizen FC,1,0,0,0.0,0.0
Chris Mepham,DF,Wales,25-043,Bournemouth,3,0,0,199.0,172.0
Christian Bassogog,MF,Cameroon,27-061,Shanghai Shen,1,0,0,13.0,9.0
Christian Eriksen,MF,Denmark,30-307,Manchester Utd,3,4,0,253.0,230.0
Christian Fassnacht,FW,Switzerland,29-037,Young Boys,1,1,0,12.0,10.0
Christian Nørgaard,MF,Denmark,28-283,Brentford,1,0,0,15.0,15.0
Christian Pulisic,FW,United States,24-091,Chelsea,4,9,1,187.0,141.0
Christopher Wooh,DF,Cameroon,21-091,Rennes,1,1,0,45.0,31.0
Cody Gakpo,FW,Netherlands,23-225,PSV Eindhoven,5,5,3,205.0,148.0
Collins Fai,DF,Cameroon,30-127,Al-Ta'ee,3,1,0,169.0,146.0
Connor Roberts,DF,Wales,27-086,Burnley,3,0,0,138.0,118.0
Craig Goodwin,MF,Australia,31-002,Adelaide,4,2,1,118.0,95.0
Cristian Romero,DF,Argentina,24-235,Tottenham,7,0,0,428.0,375.0
Cristiano Ronaldo,FW,Portugal,37-316,Manchester Utd,5,10,1,116.0,90.0
Cyle Larin,FW,Canada,27-245,Club Brugge,3,3,0,44.0,29.0
César Azpilicueta,DF,Spain,33-112,Chelsea,2,0,0,185.0,181.0
César Montes,DF,Mexico,25-297,Monterrey,3,1,0,222.0,197.0
Daichi Kamada,FW,Japan,26-135,Eint Frankfurt,4,6,0,139.0,104.0
Daizen Maeda,FW,Japan,25-059,Celtic,3,2,1,31.0,17.0
Daley Blind,DF,Netherlands,32-284,Ajax,5,5,1,339.0,300.0
Damian Szymański,MF,Poland,27-185,AEK Athens,1,0,0,9.0,8.0
Dani Alves,DF,Brazil,39-226,UNAM,2,3,0,113.0,97.0
Dani Carvajal,DF,Spain,30-341,Real Madrid,2,0,0,137.0,135.0
Dani Olmo,FW,Spain,24-225,RB Leipzig,4,12,1,257.0,198.0
Daniel Amartey,DF,Ghana,27-362,Leicester City,3,1,0,172.0,141.0
Daniel Chacón,MF,Costa Rica,21-251,CS Cartaginés,1,0,0,2.0,1.0
Daniel James,FW,Wales,25-038,Fulham,3,0,0,49.0,36.0
Daniel Kyereh,MF,Ghana,26-285,Freiburg,3,0,0,31.0,23.0
Danilo,DF,Brazil,31-156,Juventus,3,2,0,289.0,269.0
Danilo Pereira,DF,Portugal,31-100,Paris S-G,1,0,0,87.0,78.0
Danny Ward,GK,Wales,29-179,Leicester City,2,0,0,42.0,39.0
Darko Lazović,DF,Serbia,32-094,Hellas Verona,1,1,0,14.0,12.0
Darwin Núñez,FW,Uruguay,23-177,Liverpool,3,3,0,85.0,56.0
David Raum,DF,Germany,24-240,RB Leipzig,3,0,0,229.0,195.0
David Wotherspoon,MF,Canada,32-336,St Johnstone,1,0,0,9.0,7.0
Davy Klaassen,MF,Netherlands,29-300,Ajax,4,2,1,96.0,77.0
Dayot Upamecano,DF,France,24-052,Bayern Munich,5,1,0,393.0,351.0
DeAndre Yedlin,DF,United States,29-162,Inter Miami,2,0,0,32.0,28.0
Declan Rice,MF,England,23-338,West Ham,5,0,0,362.0,322.0
Dejan Lovren,DF,Croatia,33-166,Zenit,6,4,0,515.0,460.0
Denis Odoi,DF,Ghana,34-205,Club Brugge,1,0,0,7.0,2.0
Denis Zakaria,MF,Switzerland,26-028,Chelsea,2,1,0,32.0,23.0
Denzel Dumfries,DF,Netherlands,26-244,Inter,5,1,1,274.0,217.0
Devis Epassy,GK,Cameroon,29-319,Abha,2,0,0,93.0,83.0
Diego Godín,DF,Uruguay,36-305,Vélez Sarsf,2,1,0,116.0,103.0
Diogo Costa,GK,Portugal,23-090,Porto,5,0,0,170.0,160.0
Diogo Dalot,DF,Portugal,23-275,Manchester Utd,3,1,0,172.0,147.0
Djibril Sow,MF,Switzerland,25-315,Eint Frankfurt,4,2,0,115.0,97.0
Djorkaeff Reasco,FW,Ecuador,23-334,Newell's OB,1,0,0,3.0,2.0
Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,7,0,0,245.0,228.0
Dries Mertens,MF,Belgium,35-226,Galatasaray,2,3,0,39.0,33.0
Dušan Tadić,MF,Serbia,34-028,Ajax,3,1,0,150.0,127.0
Dušan Vlahović,FW,Serbia,22-324,Juventus,2,3,1,19.0,11.0
Dylan Bronn,DF,Tunisia,27-182,Salernitana,2,1,0,104.0,98.0
Eden Hazard,MF,Belgium,31-345,Real Madrid,3,1,0,70.0,58.0
Ederson,GK,Brazil,29-123,Manchester City,1,0,0,32.0,31.0
Edimilson Fernandes,FW,Switzerland,26-247,Mainz 05,3,1,0,95.0,82.0
Edinson Cavani,FW,Uruguay,35-307,Valencia,3,3,0,44.0,37.0
Edouard Mendy,GK,Senegal,30-292,Chelsea,4,0,0,128.0,120.0
Edson Álvarez,MF,Mexico,25-055,Ajax,2,1,0,131.0,114.0
Eduardo Camavinga,DF,France,20-038,Real Madrid,2,0,0,138.0,100.0
Ehsan Hajsafi,MF,IR Iran,32-296,AEK Athens,3,1,0,118.0,98.0
Ellyes Skhiri,MF,Tunisia,27-222,Köln,3,2,0,161.0,127.0
Emiliano Martínez,GK,Argentina,30-107,Aston Villa,7,0,0,196.0,187.0
Enner Valencia,FW,Ecuador,33-044,Fenerbahçe,3,8,3,98.0,57.0
Enzo Ebosse,DF,Cameroon,23-282,Udinese,1,0,0,49.0,38.0
Enzo Fernández,MF,Argentina,21-335,Benfica,7,8,1,533.0,471.0
Eray Cömert,DF,Switzerland,24-317,Valencia,2,0,0,50.0,42.0
Eric Dier,DF,England,28-337,Tottenham,2,0,0,44.0,41.0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,Bayern Munich,3,3,1,87.0,66.0
Erick Gutiérrez,MF,Mexico,27-186,PSV Eindhoven,1,0,0,34.0,29.0
Ethan Ampadu,MF,Wales,22-095,Spezia,3,1,0,178.0,144.0
Everton Ribeiro,MF,Brazil,33-252,Flamengo,1,0,0,21.0,18.0
Exequiel Palacios,MF,Argentina,24-074,Leverkusen,3,1,0,34.0,28.0
Fabian Frei,MF,Switzerland,33-344,Basel,2,0,0,16.0,14.0
Fabian Rieder,FW,Switzerland,20-305,Young Boys,2,0,0,32.0,26.0
Fabian Schär,DF,Switzerland,30-363,Newcastle Utd,2,2,0,100.0,82.0
Fabinho,MF,Brazil,29-056,Liverpool,1,0,0,63.0,57.0
Facundo Pellistri,MF,Uruguay,20-363,Manchester Utd,3,1,0,66.0,46.0
Famara Diedhiou,FW,Senegal,30-003,Alanyaspor,2,3,1,24.0,14.0
Federico Valverde,MF,Uruguay,24-149,Real Madrid,3,7,0,225.0,189.0
Ferjani Sassi,MF,Tunisia,30-275,Al Duhail SC,2,1,0,39.0,34.0
Ferrán Torres,FW,Spain,22-292,Barcelona,4,3,2,115.0,85.0
Filip Kostić,DF,Serbia,30-047,Juventus,2,1,0,130.0,113.0
Filip Mladenović,DF,Serbia,31-125,Legia Warsaw,1,1,0,29.0,25.0
Filip Đuričić,MF,Serbia,30-322,Sampdoria,2,0,0,9.0,6.0
Firas Al-Buraikan,MF,Saudi Arabia,22-218,Al-Fateh,3,2,0,94.0,63.0
Fodé Ballo-Touré,DF,Senegal,25-349,Milan,1,0,0,10.0,8.0
Fran Karačić,DF,Australia,26-220,Brescia,2,3,0,69.0,54.0
Francisco Calvo,DF,Costa Rica,30-163,Konyaspor,2,1,0,121.0,104.0
Fred,MF,Brazil,29-288,Manchester Utd,4,3,0,98.0,83.0
Frenkie de Jong,MF,Netherlands,25-220,Barcelona,5,2,1,408.0,364.0
Félix Torres Caicedo,DF,Ecuador,25-341,Santos,3,1,0,233.0,208.0
Gabriel Jesus,FW,Brazil,25-259,Arsenal,3,2,0,39.0,28.0
Garang Kuol,FW,Australia,18-094,Central Coast,2,1,0,10.0,5.0
Gareth Bale,FW,Wales,33-155,Los Angeles FC,3,1,1,68.0,53.0
Gavi,MF,Spain,18-135,Barcelona,4,1,1,183.0,154.0
Gaël Ondoua,MF,Cameroon,27-044,Hannover 96,2,0,0,25.0,19.0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,Beşiktaş,2,1,0,20.0,12.0
Germán Pezzella,DF,Argentina,31-174,Betis,3,1,0,47.0,45.0
Gerson Torres,MF,Costa Rica,25-112,Club Sport Herediano,1,1,0,25.0,16.0
Ghaylène Chaalali,MF,Tunisia,28-293,Espérance de Tunis,1,0,0,11.0,4.0
Gideon Mensah,DF,Ghana,24-153,Auxerre,1,0,0,59.0,46.0
Gio Reyna,FW,United States,20-035,Dortmund,2,2,0,42.0,38.0
